,Window size,Kernel Type,Train Error,Validation Error,Test Error
0,8,poly,0.00836587166247317,0.013064242536228015,0.012864794017270746
1,16,poly,0.008993292083737794,0.023702352301491612,0.02649818291840172
2,64,poly,0.05442571169765661,0.2556876398342083,0.2443941194212036
3,128,poly,0.15612220813259298,0.8022789233706387,0.749431517779325
4,256,poly,0.18034959947118603,0.9282957649044942,0.9404921242394748
5,512,poly,0.17439950152873987,1.0024456247009852,0.971160072165526
6,8,rbf,0.06205597330426767,0.575567779867687,0.6264114083630263
7,16,rbf,0.1524108781917965,0.9605343438677066,0.9863513602004015
8,64,rbf,0.15334260175308423,1.0250478036108273,0.9776440030773003
9,128,rbf,0.1541646661144818,0.9924210419846592,1.0144883543237646
10,256,rbf,0.15349886207891136,1.0070944587864539,1.024651700927204
11,512,rbf,0.15342335143396235,1.0056572384780809,1.019304113660172
