,Num Layers,Time Window,Train Error,Validation Error,Test Error
0,3.0,8.0,0.991004184325,0.978211836835,0.963906533583
1,4.0,16.0,1.0012700615,0.912423355897,0.913852899175
2,5.0,32.0,1.0024703026,0.899475323801,0.952245165031
3,6.0,64.0,0.99980508711,0.95388431238,0.908939598902
