,Window Length,Train Error,Validation Error,Test Error
0,8.0,0.187306821062,0.107436860912,0.11078905085
1,16.0,0.191533439392,0.114237541333,0.109399275138
2,32.0,0.192063122211,0.122744388878,0.112101147572
3,64.0,0.201361531918,0.125685686246,0.118733240912
4,128.0,0.20239007732,0.11828394141,0.116656107207
